order_date,region,segment,shipping_mode,category,product_name,quantity,discount,sales,profit,anomaly,anomaly_prediction,anomaly_score
2025-08-31,North,Home Office,First Class,Office Supplies,Notebook,4,0.06,2117.75,534.87,0,0,0.19395775741905075
2024-11-12,West,Consumer,Standard Class,Office Supplies,Notebook,2,0.05,1440.52,303.9,0,0,0.17292363576663028
2024-04-27,South,Corporate,First Class,Electronics,Monitor,1,0.19,5796.27,862.13,0,0,0.14840278928137252
2024-05-22,South,Corporate,Standard Class,Furniture,Desk,2,0.09,6076.16,1121.76,0,0,0.18095213599511
2026-04-12,West,Home Office,Standard Class,Furniture,Chair,7,0.02,17422.75,3010.17,0,0,0.1324571299029641
2026-04-25,North,Consumer,Second Class,Furniture,Desk,5,0.25,10757.88,2947.2,0,0,0.11315816281382973
2025-12-31,West,Home Office,First Class,Furniture,Sofa,3,0.09,10609.71,1673.27,0,0,0.1937249485496525
2023-07-18,South,Home Office,Second Class,Office Supplies,Notebook,3,0.12,1237.51,208.63,0,0,0.1838529788763023
2024-08-31,East,Consumer,Second Class,Office Supplies,Printer,1,0.2,237.16,45.58,0,0,0.1244950113219161
2024-12-03,South,Home Office,Same Day,Office Supplies,Pen,7,0.22,3601.75,848.98,0,0,0.15236164957728732
2024-02-07,East,Home Office,Same Day,Electronics,Smartphone,7,0.09,29099.27,8715.78,0,0,0.1148286437148246
2024-07-19,North,Consumer,Second Class,Furniture,Chair,3,0.2,6097.28,1195.0,0,0,0.1807069258359571
2025-08-02,East,Home Office,Standard Class,Furniture,Table,2,0.17,3247.34,703.55,0,0,0.18911505084924213
2025-06-17,North,Corporate,Same Day,Office Supplies,Pen,3,0.11,1487.79,433.97,0,0,0.1908145783672443
2025-02-04,North,Home Office,First Class,Furniture,Desk,4,0.04,9535.64,2453.06,0,0,0.16880898276894868
2025-08-14,East,Corporate,Standard Class,Office Supplies,Notebook,2,0.23,732.21,203.68,0,0,0.15319703114939098
2026-01-04,North,Consumer,Standard Class,Furniture,Desk,2,0.18,4206.15,1122.56,0,0,0.18279419400774483
2025-11-26,South,Home Office,Same Day,Office Supplies,Printer,3,0.07,1851.56,512.95,0,0,0.18912799747234071
2023-09-29,East,Corporate,First Class,Electronics,Smartphone,8,0.22,40612.07,8173.89,0,0,0.05701205004234633
2024-07-31,North,Home Office,Second Class,Electronics,Tablet,4,0.0,17247.81,4267.3,0,0,0.0974101367059571
2024-03-08,East,Consumer,Second Class,Electronics,Laptop,5,0.17,20048.44,3178.93,0,0,0.1716980152650719
2025-07-03,South,Corporate,Same Day,Office Supplies,Storage Box,4,0.02,2546.52,607.64,0,0,0.16856474313215453
2024-11-12,North,Home Office,Standard Class,Furniture,Table,1,0.1,2755.13,498.88,0,0,0.1726014404957647
2024-07-16,South,Home Office,Same Day,Electronics,Smartphone,3,0.11,11215.11,1908.12,0,0,0.1898329214694786
2026-03-13,North,Consumer,Standard Class,Electronics,Monitor,2,0.23,8306.69,2265.77,0,0,0.13523394915037046
2025-07-03,South,Corporate,Standard Class,Furniture,Table,3,0.09,7619.26,2265.63,0,0,0.17998363734119338
2024-07-13,West,Home Office,Same Day,Furniture,Sofa,3,0.05,7503.6,1194.47,0,0,0.17795880950884485
2025-02-13,East,Consumer,Standard Class,Office Supplies,Notebook,8,0.13,3244.71,887.39,0,0,0.14220971063658977
2025-07-22,South,Consumer,Standard Class,Office Supplies,Notebook,4,0.1,1358.81,393.36,0,0,0.18198048099813902
2025-01-04,North,Corporate,First Class,Office Supplies,Notebook,5,0.05,3716.29,925.04,0,0,0.17674799297557803
2025-04-30,East,Corporate,First Class,Furniture,Desk,2,0.0,6371.49,1476.97,0,0,0.10290758609585471
2025-10-18,South,Home Office,First Class,Electronics,Laptop,3,0.23,14135.25,3937.45,0,0,0.12596670638899554
2024-02-21,South,Corporate,First Class,Furniture,Sofa,1,0.17,2866.09,630.05,0,0,0.17207243338633116
2025-11-23,East,Consumer,Standard Class,Electronics,Smartphone,3,0.07,16004.19,3662.87,0,0,0.1633513847884075
2025-10-31,West,Corporate,Standard Class,Electronics,Tablet,2,0.16,17281.96,4653.73,0,0,0.10640719426239342
2023-12-14,East,Consumer,Same Day,Furniture,Desk,7,0.14,20763.95,2909.8,0,0,0.16460777446922398
2025-02-27,North,Corporate,Second Class,Office Supplies,Printer,7,0.03,5160.25,905.55,0,0,0.14683128598115314
2024-09-03,South,Home Office,Second Class,Electronics,Tablet,2,0.09,7127.76,1573.66,0,0,0.17772443707440994
2024-06-25,South,Consumer,Second Class,Office Supplies,Printer,7,0.01,2712.25,685.06,0,0,0.1251908031264095
2025-04-11,East,Consumer,Standard Class,Furniture,Desk,7,0.22,12344.06,3389.02,0,0,0.13797148626251876
2023-07-19,East,Consumer,Second Class,Furniture,Sofa,1,0.17,1986.33,380.83,0,0,0.17032548587568086
2024-07-16,East,Home Office,Same Day,Electronics,Tablet,6,0.23,19136.63,2693.7,0,0,0.1408152194920828
2023-08-06,North,Consumer,Same Day,Electronics,Tablet,6,0.18,32437.31,5723.95,0,0,0.14149992367572117
2023-10-04,West,Home Office,Second Class,Office Supplies,Notebook,5,0.01,3355.61,666.06,0,0,0.1488588183846391
