order_date,region,segment,shipping_mode,category,product_name,quantity,discount,sales,profit,anomaly
2025-08-31,North,Home Office,First Class,Office Supplies,Notebook,4,0.06,2117.75,534.87,0
2024-11-12,West,Consumer,Standard Class,Office Supplies,Notebook,2,0.05,1440.52,303.9,0
2024-04-27,South,Corporate,First Class,Electronics,Monitor,1,0.19,5796.27,862.13,0
2024-05-22,South,Corporate,Standard Class,Furniture,Desk,2,0.09,6076.16,1121.76,0
2026-04-12,West,Home Office,Standard Class,Furniture,Chair,7,0.02,17422.75,3010.17,0
2026-04-25,North,Consumer,Second Class,Furniture,Desk,5,0.25,10757.88,2947.2,0
2025-12-31,West,Home Office,First Class,Furniture,Sofa,3,0.09,10609.71,1673.27,0
2023-07-18,South,Home Office,Second Class,Office Supplies,Notebook,3,0.12,1237.51,208.63,0
2024-08-31,East,Consumer,Second Class,Office Supplies,Printer,1,0.2,237.16,45.58,0
2024-12-03,South,Home Office,Same Day,Office Supplies,Pen,7,0.22,3601.75,848.98,0
2024-02-07,East,Home Office,Same Day,Electronics,Smartphone,7,0.09,29099.27,8715.78,0
2024-07-19,North,Consumer,Second Class,Furniture,Chair,3,0.2,6097.28,1195.0,0
2025-08-02,East,Home Office,Standard Class,Furniture,Table,2,0.17,3247.34,703.55,0
2025-06-17,North,Corporate,Same Day,Office Supplies,Pen,3,0.11,1487.79,433.97,0
2025-02-04,North,Home Office,First Class,Furniture,Desk,4,0.04,9535.64,2453.06,0
2025-08-14,East,Corporate,Standard Class,Office Supplies,Notebook,2,0.23,732.21,203.68,0
2026-01-04,North,Consumer,Standard Class,Furniture,Desk,2,0.18,4206.15,1122.56,0
2025-11-26,South,Home Office,Same Day,Office Supplies,Printer,3,0.07,1851.56,512.95,0
2023-09-29,East,Corporate,First Class,Electronics,Smartphone,8,0.22,40612.07,8173.89,0
2024-07-31,North,Home Office,Second Class,Electronics,Tablet,4,0.0,17247.81,4267.3,0
2024-03-08,East,Consumer,Second Class,Electronics,Laptop,5,0.17,20048.44,3178.93,0
2025-07-03,South,Corporate,Same Day,Office Supplies,Storage Box,4,0.02,2546.52,607.64,0
2024-11-12,North,Home Office,Standard Class,Furniture,Table,1,0.1,2755.13,498.88,0
2024-07-16,South,Home Office,Same Day,Electronics,Smartphone,3,0.11,11215.11,1908.12,0
2026-03-13,North,Consumer,Standard Class,Electronics,Monitor,2,0.23,8306.69,2265.77,0
2025-07-03,South,Corporate,Standard Class,Furniture,Table,3,0.09,7619.26,2265.63,0
2024-07-13,West,Home Office,Same Day,Furniture,Sofa,3,0.05,7503.6,1194.47,0
2025-02-13,East,Consumer,Standard Class,Office Supplies,Notebook,8,0.13,3244.71,887.39,0
2025-07-22,South,Consumer,Standard Class,Office Supplies,Notebook,4,0.1,1358.81,393.36,0
2025-01-04,North,Corporate,First Class,Office Supplies,Notebook,5,0.05,3716.29,925.04,0
2025-04-30,East,Corporate,First Class,Furniture,Desk,2,0.0,6371.49,1476.97,0
2025-10-18,South,Home Office,First Class,Electronics,Laptop,3,0.23,14135.25,3937.45,0
2024-02-21,South,Corporate,First Class,Furniture,Sofa,1,0.17,2866.09,630.05,0
2025-11-23,East,Consumer,Standard Class,Electronics,Smartphone,3,0.07,16004.19,3662.87,0
2025-10-31,West,Corporate,Standard Class,Electronics,Tablet,2,0.16,17281.96,4653.73,0
2023-12-14,East,Consumer,Same Day,Furniture,Desk,7,0.14,20763.95,2909.8,0
2025-02-27,North,Corporate,Second Class,Office Supplies,Printer,7,0.03,5160.25,905.55,0
2024-09-03,South,Home Office,Second Class,Electronics,Tablet,2,0.09,7127.76,1573.66,0
2024-06-25,South,Consumer,Second Class,Office Supplies,Printer,7,0.01,2712.25,685.06,0
2025-04-11,East,Consumer,Standard Class,Furniture,Desk,7,0.22,12344.06,3389.02,0
2023-07-19,East,Consumer,Second Class,Furniture,Sofa,1,0.17,1986.33,380.83,0
2024-07-16,East,Home Office,Same Day,Electronics,Tablet,6,0.23,19136.63,2693.7,0
2023-08-06,North,Consumer,Same Day,Electronics,Tablet,6,0.18,32437.31,5723.95,0
2023-10-04,West,Home Office,Second Class,Office Supplies,Notebook,5,0.01,3355.61,666.06,0
2024-07-26,East,Corporate,Standard Class,Office Supplies,Printer,6,0.16,2210.0,529.1,0
2025-03-14,West,Corporate,Same Day,Furniture,Sofa,5,0.14,19908.05,3076.41,0
2023-06-25,East,Corporate,Standard Class,Furniture,Desk,5,0.07,12102.93,2388.88,0
2025-06-08,West,Corporate,Same Day,Office Supplies,Pen,4,0.13,3248.69,853.99,0
2025-10-13,North,Corporate,First Class,Office Supplies,Printer,2,0.2,1768.75,451.39,0
2023-12-21,South,Consumer,Standard Class,Electronics,Smartphone,4,0.25,17996.09,4139.63,0
2025-05-02,South,Home Office,Same Day,Furniture,Table,8,0.1,17539.23,2570.6,0
2023-07-11,South,Consumer,Same Day,Electronics,Monitor,1,0.14,4296.28,1225.06,0
2024-10-16,East,Corporate,Same Day,Electronics,Monitor,8,0.22,56743.16,14404.7,0
2025-07-13,East,Home Office,Same Day,Furniture,Desk,4,0.07,7867.16,1053.78,0
2024-06-15,East,Home Office,Standard Class,Furniture,Sofa,3,0.04,5266.5,995.09,0
2023-09-18,West,Corporate,First Class,Electronics,Laptop,8,0.1,63178.58,9933.58,0
2025-07-22,West,Corporate,Standard Class,Office Supplies,Notebook,6,0.07,3665.39,697.15,0
2024-06-08,West,Consumer,First Class,Furniture,Desk,7,0.12,18535.08,3521.56,0
